,AGO,ALB,AND,ANT,ARE,ARG,ARM,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COK,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GRL,GTM,GUF,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MSR,MUS,MWI,MYS,NAM,NCL,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TON,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,YEM,YUG,ZAF,ZMB,ZWE
BDI,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
BEL,2,0,0,0,2,56,30,270,326,4,8,0,16,4,6,70,0,0,2,24,0,0,4,234,0,4,0,4,0,606,670,56,176,22,28,14,4,0,16,2,0,0,44,4,220,1762,0,348,2,34,4,22,0,718,16,6,276,0,2512,0,8,1978,16,8,0,16,0,0,210,2,0,0,0,0,0,22,4,192,8,86,118,4,0,8,140,1014,0,2,394,4,40,2,2,0,32,4,0,6,0,0,0,6,0,16,54,4,50,8,20,4,0,76,0,2,4,0,0,0,2,2,0,2,2,6,2,2,6,14,0,1850,222,0,52,0,0,4,14,6,0,0,362,0,228,2,0,0,118,554,2,8,2,38,24,2,0,0,0,0,0,0,0,138,112,568,0,0,0,0,4,20,0,2,0,0,28,28,14,8,2,58,6,2644,10,0,0,8,26,0,0,24,110,12,20
BEN,0,0,0,0,0,0,0,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,0,12,6,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,2,0,0,2,0,32,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,6,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,2
BFA,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,6,0,0,8,4,0,0,0,4,0,0,0,0,0,0,4,0,0,0,2,2,0,0,2,0,0,0,0,50,0,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,4,0,0
BGD,0,0,0,0,2,0,0,10,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,0,0,2,0,0,0,0,0,2,0,2,0,0,124,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,54,6,0,0,0,0,8,2,0,72,0,4,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,2,18,4,2,0,2,8,0,2,4,0,2,0,0,0,0,0,0,2,6,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0,0,2,0,0,0,0,0,2,2,4,0,0,0,136,2,0,0,4,4,0,0,0,0,0,0
BGR,0,2,0,0,0,4,2,32,32,0,0,70,0,0,0,0,0,0,0,4,0,0,0,26,0,0,0,0,0,38,82,4,68,0,0,0,0,0,2,0,0,0,0,56,40,402,0,34,0,2,0,4,0,142,2,0,68,0,254,0,0,178,4,0,0,0,0,0,82,0,0,0,0,0,0,12,0,96,0,70,6,4,0,2,22,188,0,0,62,2,0,0,0,0,56,2,0,0,0,0,0,0,0,6,4,14,4,0,0,0,0,18,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,6,0,0,0,0,0,0,0,0,0,82,0,16,0,0,0,90,152,0,0,0,0,2,0,0,0,0,0,0,0,0,14,6,56,0,0,0,0,0,0,0,0,0,0,4,14,58,0,0,30,4,334,0,0,0,0,0,0,0,10,10,0,0
BHR,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
BHS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0
BIH,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,8,0,0,0
BLR,0,0,0,0,0,2,6,0,28,0,0,24,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,20,28,0,10,0,0,0,0,0,0,0,0,0,0,0,22,250,0,2,0,0,0,0,0,36,8,0,6,0,66,0,0,102,4,0,0,0,0,0,6,0,0,0,0,0,0,2,0,4,0,6,2,0,0,0,12,70,0,0,50,4,0,0,0,0,12,0,0,0,0,0,0,0,0,6,0,4,2,0,2,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,126,0,28,0,0,0,12,224,0,0,0,0,2,0,0,0,0,0,0,0,0,6,8,18,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,38,2,114,2,0,0,0,0,0,0,8,0,0,0
BLZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
BOL,0,0,0,0,0,4,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,2,0,2,0,0,12,0,0,0,0,24,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,44,0,0,0,2,0,0,0,0,0,0,0
BRA,10,0,0,0,2,488,6,148,110,0,0,234,2,2,2,26,0,0,0,8,0,0,20,0,0,0,0,0,0,470,178,152,154,2,4,0,4,0,136,0,0,22,80,0,118,840,0,150,8,0,44,8,0,494,2,4,94,0,1044,0,0,1036,2,0,0,0,0,0,88,0,0,2,2,2,4,2,2,36,0,108,22,4,0,4,96,506,2,0,246,0,10,0,0,0,58,2,0,2,0,0,0,0,0,6,0,0,8,0,0,2,0,184,0,0,0,0,0,0,6,0,0,2,0,2,2,0,0,8,6,250,104,4,30,8,6,6,40,6,0,2,158,0,248,10,0,0,26,336,0,0,0,2,22,0,0,2,0,0,0,0,0,72,78,170,0,0,0,0,0,14,0,0,0,0,0,28,14,4,4,46,78,3134,2,0,0,64,0,0,0,14,36,2,8
BRB,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,20,0,0,2,0,0,0,0,0,0,0,0
BRN,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
BTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BWA,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,22,0,0,0,0,0,0,0,0,6,2,2
CAF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,14,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
CAN,0,2,0,0,36,142,22,1236,232,2,0,606,6,2,6,38,2,2,4,20,0,6,0,470,18,0,0,4,4,0,786,108,880,6,8,0,2,0,22,0,0,12,20,6,192,2124,0,416,4,20,0,56,2,526,12,6,332,4,2294,0,2,3220,10,26,0,2,0,0,162,0,4,0,0,0,2,22,0,238,36,284,104,128,0,8,488,1080,10,22,1560,4,50,0,0,4,378,34,0,14,0,0,0,14,0,10,4,24,34,4,2,4,0,224,0,18,0,0,0,8,2,2,0,0,12,44,2,6,0,14,0,900,216,6,276,12,20,8,10,24,0,2,372,0,78,0,0,0,60,658,0,64,0,4,130,8,0,0,0,0,0,0,0,32,24,706,0,0,2,0,12,52,0,0,0,28,12,98,188,20,6,56,14,14048,2,0,0,26,8,2,0,22,186,4,20
CHE,2,2,0,0,6,72,36,416,600,0,2,670,2,6,10,82,0,0,0,28,0,0,0,178,0,0,2,0,0,786,0,32,276,40,6,8,4,0,38,0,2,2,10,74,278,4356,0,444,2,14,2,30,0,816,22,16,440,2,2730,0,0,2468,16,10,0,4,0,0,278,2,0,0,0,0,0,54,0,276,12,152,76,14,0,8,282,2054,2,0,706,2,36,0,0,0,144,2,0,2,0,0,4,10,0,12,14,4,16,2,2,8,0,44,0,0,2,2,0,0,2,0,0,2,10,4,0,6,2,12,2,972,228,10,82,2,14,10,8,16,0,16,454,0,230,0,0,0,116,814,0,8,6,8,20,0,0,0,0,0,0,0,0,154,134,650,2,6,2,0,0,38,0,0,0,2,6,58,136,32,8,82,6,5088,0,0,0,8,16,0,2,14,98,8,14
